"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hama_patient_name,hamilton_anxiety_scale_hama,"The Hamilton Anxiety Scale (HAM-A) is a rating scale developed to quantify the severity of anxiety symptomatology, often used in psychotropic drug evaluation. It consists of 14 items, each defined by a series of symptoms. Each item is rated on a 5-point scale, ranging from 0 (not present) to 4 (severe). The following online version is provided for educational purposes only. ",text,"Patient Name",,,,,,,,,,,,,
hama_todays_date,hamilton_anxiety_scale_hama,,text,"Today's Date",,,date_ymd,,,,,,,,,,
hama_1,hamilton_anxiety_scale_hama,,radio,"1. ANXIOUS MOOD<br> -Worries<br>-Anticipates worst ","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_2,hamilton_anxiety_scale_hama,,radio,"2. TENSION<br>-Startles<br>-Cries easily<br>-Restless<br>-Trembling","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_3,hamilton_anxiety_scale_hama,,radio,"3. FEARS <br>-Fear of the dark <br>-Fear of strangers<br>-Fear of being alone<br>-Fear of animal","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_4,hamilton_anxiety_scale_hama,,radio,"4. INSOMNIA <br>-Difficulty falling asleep or staying asleep <br>-Difficulty with Nightmares","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_5,hamilton_anxiety_scale_hama,,radio,"5. INTELLECTUAL <br>-Poor concentration<br>-Memory Impairment","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_6,hamilton_anxiety_scale_hama,,radio,"6. DEPRESSED MOOD<br>-Decreased interest in activities<br>-Anhedoni<br>-Insomnia","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_7,hamilton_anxiety_scale_hama,,radio,"7. SOMATIC COMPLAINTS: MUSCULAR<br>-Muscle aches or pains<br>-Bruxism","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_8,hamilton_anxiety_scale_hama,,radio,"8. SOMATIC COMPLAINTS: SENSORY<br>-Tinnitus <br>-Blurred vision","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_9,hamilton_anxiety_scale_hama,,radio,"9. CARDIOVASCULAR SYMPTOMS<br>-Tachycardia <br>-Palpitations<br>-Chest Pain<br>-Sensation of feeling faint","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_10,hamilton_anxiety_scale_hama,,radio,"10. RESPIRATORY SYMPTOMS<br>-Chest pressure<br>-Choking sensation<br>-Shortness of Breath","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_11,hamilton_anxiety_scale_hama,,radio,"11. GASTROINTESTINAL SYMPTOMS<br>-Dysphagia<br>-Nausea or Vomiting<br>-Constipation<br>-Weight loss<br>-Abdominal fullness","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_12,hamilton_anxiety_scale_hama,,radio,"12. GENITOURINARY SYMPTOMS<br>-Urinary frequency or urgency<br>-Dysmenorrhea <br>-Impotence","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_13,hamilton_anxiety_scale_hama,,radio,"13. AUTONOMIC SYMPTOMS<br>-Dry Mouth<br>-Flushing<br>-Pallor<br>-Sweating","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_14,hamilton_anxiety_scale_hama,,radio,"14. BEHAVIOR AT INTERVIEW<br>-Fidgets<br>-Tremor<br>-Paces","0, 0 (Not present) | 1, 1 | 2, 2 | 3, 3 | 4, 4 (Severe)",,,,,,,,,,,,
hama_score,hamilton_anxiety_scale_hama,"HAM-A score level of anxiety: < 17 mild; 18 - 24 mild to moderate; 25 - 30 moderate to severe",text,"TOTAL SCORE:",,,number,0,,,,,,,,,
